subscribers,Country
20400000,Afghanistan
15100000,Andorra
328500000,Argentina
172000000,Australia
13900000,Bangladesh
41900000,Barbados
1221800000,Brazil
363900000,Canada
87200000,Chile
17600000,China
264500000,Colombia
46300000,Cuba
27700000,Ecuador
30600000,Egypt
46100000,El Salvador
13200000,Finland
83900000,France
116400000,Germany
4310600000,India
534100000,Indonesia
30200000,Iraq
39400000,Italy
189100000,Japan
67000000,Jordan
30500000,Kuwait
20200000,Latvia
17700000,Malaysia
626900000,Mexico
14500000,Morocco
2922200000,nan
58100000,Netherlands
155400000,Pakistan
14400000,Peru
240100000,Philippines
407200000,Russia
13100000,Samoa
179100000,Saudi Arabia
59700000,Singapore
481700000,South Korea
385100000,Spain
63000000,Sweden
19400000,Switzerland
386500000,Thailand
91600000,Turkey
125600000,Ukraine
148200000,United Arab Emirates
917400000,United Kingdom
7329500000,United States of America
31200000,Venezuela
47800000,Vietnam
